,dft,nmf,pca,kmeans
0,49.48142969355602,49.48142969355602,49.48142969355602,49.48142969355602
1,54.098592405204776,60.76028932579774,50.83853178947892,49.481429693556
2,47.43636676276949,61.921505768334804,50.39348805936233,49.71410591542896
3,46.28526700519771,64.43141279264822,52.86587477792239,53.2416315318264
4,48.75364679940149,71.47490729022157,63.659607273112044,47.752583812037855
5,45.56406127172201,67.62481182513982,61.857339484752316,54.77010620443673
6,42.81336011547383,74.14892471790355,61.81145741093909,56.2830754538284
7,37.756491915018536,76.58922278246621,64.94667409382473,57.725225286274934
8,39.7338379640943,77.59842926845812,64.66059708910375,58.527923908107
9,42.397418280878576,73.58584593730603,68.595586536322,52.75270245968481
10,48.860341507979655,73.33663340265878,68.47944437210583,55.01896500090867
11,58.322575231344445,75.75379659371619,74.83421737089537,65.08093966076126
12,64.13256858038389,84.01068586656172,78.37345242631089,59.675361486244796
