,dft,nmf,pca,kmeans,y
0,67.88279911766035,67.00766565855172,66.25905183232386,64.61727092348957,68.02
1,69.50769240651827,73.13934850338728,75.0084405218724,69.35759496247944,62.0
2,63.315796956176186,74.69998958787838,73.73422628990149,66.20194650907479,68.73
3,74.77748444977745,73.79267661499887,75.27187719579779,70.9302096045967,65.74
4,66.20656024113423,61.11130153492405,56.82597285217861,68.0684765427609,67.36
5,77.61382254791043,75.14774108205964,74.97255746741217,74.52375547585638,75.45
6,69.42754010230996,68.685358152246,71.78130231459126,71.1862604534977,63.5
7,73.48936684888638,72.33921007622499,72.63003952730172,72.15950903954369,71.54
8,71.15924968599852,70.90712046427905,71.02291826114643,73.16836003073445,73.89
9,71.21693990619717,70.23671094042524,73.91436826568196,70.65583599584366,59.09
10,75.55687833997565,75.84106719742037,74.96975271760328,74.43528096216356,77.83
11,73.63054171229803,72.85584364365197,74.38096019195233,68.94767193995531,68.96
12,68.96126548101725,68.9795552403104,65.30534782970952,67.48623933476748,74.61
13,75.91393589964764,74.80839604733755,75.53456631628188,77.22131950829285,80.19
14,70.11897356369337,69.04733584446521,68.559186911256,69.56125722924727,66.37
15,75.22544954457234,74.3827467592717,72.85945942127853,77.88796898545642,72.8
16,72.99316835071271,77.30489493040182,86.91241270017194,79.75998280866173,73.38
17,75.07599493303672,75.80071503310138,74.46026980807528,78.38480941290463,82.8
18,69.99967780309034,74.09839381133901,74.3849125123371,73.43263505037969,82.37
19,70.50692211438859,82.73685774398342,83.93997384023565,74.7464827650366,61.58
20,72.55257027676473,63.6563756838693,64.59600308869193,70.33565548583692,59.63
21,73.35568333532996,74.01496548069275,74.69490978054019,72.94638625774199,81.1
22,71.68229519382527,67.40523051737996,68.02545044957537,72.321975849322,69.58
23,73.66090704471489,74.50418623427787,74.76106467532179,74.01453173125608,67.62
24,76.41547621375068,76.09616714615464,76.38259783347551,74.71201610365941,81.19
25,68.3195428504903,72.11071282350073,70.7438511642447,67.59865946935427,75.7
26,70.38187561875795,70.3864003227678,69.31471424046696,75.1823480046926,71.65
27,74.06405777466978,73.90679924780581,72.92909918707045,75.9676198433058,63.41
28,71.69895098238744,72.95529506111444,70.69195320270246,68.07193084160939,73.77
29,70.98560762991906,72.36892206635252,72.27981214846959,69.62515951708325,73.32
30,73.10911132709475,67.26544515013343,71.15364181714655,70.53501316422789,64.95
31,74.26036667208056,78.45866655491905,78.03525607330891,75.28620711565486,79.63
32,76.00340717962641,77.08137645662258,75.80532628898787,76.65307718565568,75.56
33,77.70440059370063,80.96595337743986,78.74391350284162,80.52856365536678,84.97
34,73.48595524150755,73.57656154098801,74.83889927219695,71.04691774388539,78.78
35,76.4862365402083,77.44497867111609,71.9099769058173,62.6650566064666,75.69
36,74.382949910462,68.46347057609424,65.1355173540623,76.30355387642972,72.17
37,74.19027617207836,73.39936724965506,76.15991905269843,73.6864584164143,66.89
38,75.08153697307404,80.22049350837526,74.40882454876181,77.31566445672242,76.97
39,67.67729283241063,69.9388321339963,70.39907139146348,69.53494745370674,76.36
40,68.28536238678592,65.33196157682957,72.27894126173504,69.42972070267773,62.49
41,64.6218526867362,71.00593523563919,70.640499302213,67.32781526885572,76.21
42,68.9153080932372,67.17169205075994,69.55994529521634,69.07067262916894,76.66
